article_guid,article_link,title,source,source_category,independence_group,source_quality_default,published,classification,triage_confidence,signal_type,vertical_id,use_case_id,technology_id,rationale,prompt_version,model,review_status,processed_at
https://www.automotiveworld.com/?p=502595,https://www.automotiveworld.com/news/pony-ai-q2-2026-revenues-up-68-8-on-robotaxi-surge/,Pony AI Q2 2026 revenues up 68.8% on Robotaxi surge,Automotive World,industry_media,automotive_world,3,2026-08-18T05:15:51+00:00,IRRELEVANT,MEDIUM,,,,,Robotaxi revenue growth lacks a clear Orange Business enterprise opportunity mapping.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502628,https://www.automotiveworld.com/news/grounded-closes-us5-million-seed-round-for-fleet-ev-plant/,Grounded closes US$5 million seed round for fleet EV plant,Automotive World,industry_media,automotive_world,3,2026-08-18T05:10:50+00:00,RELEVANT,MEDIUM,market_move,manufacturing,,,Funding and a new fleet EV plant signal manufacturing scale-up.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502594,https://www.automotiveworld.com/topics/e-mobility/mazda-cx-6e-design-takes-kodo-into-the-electric-era/,Mazda CX-6e design takes Kodo into the electric era,Automotive World,industry_media,automotive_world,3,2026-08-18T05:00:47+00:00,IRRELEVANT,HIGH,,,,,Consumer vehicle design commentary lacks B2B evidence value.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502638,https://www.automotiveworld.com/news/lotus-eletre-and-emeya-ota-update-brings-five-new-features/,Lotus Eletre and Emeya OTA update brings five new features,Automotive World,industry_media,automotive_world,3,2026-08-18T04:55:43+00:00,IRRELEVANT,HIGH,,,,,Consumer vehicle feature update lacks enterprise demand or deployment evidence.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502637,https://www.automotiveworld.com/news/hevo-patent-covers-bidirectional-dynamic-ev-road-charging/,HEVO patent covers bidirectional dynamic EV road charging,Automotive World,industry_media,automotive_world,3,2026-08-18T04:50:39+00:00,IRRELEVANT,LOW,,,,,Patent news alone does not establish production maturity or enterprise buying evidence.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502636,https://www.automotiveworld.com/news/lg-energy-solution-targets-35-gwh-at-new-lansing-plant/,LG Energy Solution targets 35 GWh at new Lansing plant,Automotive World,industry_media,automotive_world,3,2026-08-18T04:45:35+00:00,RELEVANT,HIGH,market_move,manufacturing,,,Named 35 GWh plant target signals material battery-manufacturing capacity expansion.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502635,https://www.automotiveworld.com/news/tasking-led-team-earns-top-oem-score-at-aws-ai-hackathon/,Tasking-led team earns top OEM score at AWS AI hackathon,Automotive World,industry_media,automotive_world,3,2026-08-18T04:40:30+00:00,IRRELEVANT,LOW,,,,,Hackathon prototype score is insufficient proof of enterprise AI production maturity.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502634,https://www.automotiveworld.com/news/hesai-q2-2026-revenues-rise-21-9-on-lidar-shipment-surge/,Hesai Q2 2026 revenues rise 21.9% on LiDAR shipment surge,Automotive World,industry_media,automotive_world,3,2026-08-18T04:35:24+00:00,RELEVANT,MEDIUM,proof,manufacturing,,,Named OEM design wins and shipment growth provide automotive technology adoption proof.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502601,https://www.automotiveworld.com/news/cinemo-adds-in-car-music-streaming-to-hyundai-motor-group/,Cinemo adds in-car music streaming to Hyundai Motor Group,Automotive World,industry_media,automotive_world,3,2026-08-18T04:30:38+00:00,IRRELEVANT,HIGH,,,,,In-car consumer entertainment service does not support a target enterprise opportunity.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502593,https://www.automotiveworld.com/news/gwms-3-0-litre-diesel-enters-cannon-alpha-and-tank-500/,GWM's 3.0-litre diesel enters Cannon Alpha and Tank 500,Automotive World,industry_media,automotive_world,3,2026-08-18T04:20:52+00:00,IRRELEVANT,HIGH,,,,,Consumer vehicle powertrain launch lacks a growth-portfolio enterprise signal.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/us-navy-raytheon-23b-contract-rtx-tomahawk-missile-production/828047/,https://www.manufacturingdive.com/news/us-navy-raytheon-23b-contract-rtx-tomahawk-missile-production/828047/,Raytheon gets $23B Navy contract to boost Tomahawk missile production,Manufacturing Dive,industry_media,industry_dive,3,2026-08-18T16:25:15+00:00,RELEVANT,HIGH,buying,manufacturing,,,Named $23B defence contract is a strong manufacturing procurement signal.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/new-materials-innovation-mike-zimmerman-3D-printing-additive-manufacturing/828050/,https://www.manufacturingdive.com/news/new-materials-innovation-mike-zimmerman-3D-printing-additive-manufacturing/828050/,New materials are key to manufacturing innovation: Z-Polymers,Manufacturing Dive,industry_media,industry_dive,3,2026-08-18T16:03:06+00:00,IRRELEVANT,MEDIUM,,,,,Generic innovation commentary lacks a specific enterprise technology demand or deployment claim.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/trump-us-navy-shipbuilding-finland-mou-defense-war/827962/,https://www.manufacturingdive.com/news/trump-us-navy-shipbuilding-finland-mou-defense-war/827962/,Trump inks MOU allowing US Navy ships to be built overseas,Manufacturing Dive,industry_media,industry_dive,3,2026-08-17T16:44:33+00:00,RELEVANT,MEDIUM,market_move,manufacturing,,,Named shipbuilding MOU signals a defence manufacturing supply-chain shift.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/background-screening-manufacturing-hiring-risk-ai-compliance/826976/,https://www.manufacturingdive.com/news/background-screening-manufacturing-hiring-risk-ai-compliance/826976/,How to navigate background screening for the manufacturing workforce,Manufacturing Dive,industry_media,industry_dive,3,2026-08-17T13:09:00+00:00,IRRELEVANT,MEDIUM,,,,,Workforce screening advice lacks a concrete technology deployment or market trigger.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/trump-tariffs-drones-uas-components-defense-supply-chain-war/827889/,https://www.manufacturingdive.com/news/trump-tariffs-drones-uas-components-defense-supply-chain-war/827889/,Trump imposes 100% tariffs on some drones and components,Manufacturing Dive,industry_media,industry_dive,3,2026-08-14T16:24:00+00:00,IRRELEVANT,MEDIUM,,,,,US tariff policy lacks a direct enabled manufacturing technology or Orange play.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/ford-plans-to-phase-out-china-built-lincoln-models-for-the-us/827849/,https://www.manufacturingdive.com/news/ford-plans-to-phase-out-china-built-lincoln-models-for-the-us/827849/,Ford plans to phase out China-built Lincoln models for the US,Manufacturing Dive,industry_media,industry_dive,3,2026-08-13T16:15:00+00:00,RELEVANT,MEDIUM,market_move,manufacturing,,,Ford's manufacturing localization decision is a named supply-chain and production move.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/cast-in-steel-youtube-dod-reality-show-competition-george-washington-sword/827236/,https://www.manufacturingdive.com/news/cast-in-steel-youtube-dod-reality-show-competition-george-washington-sword/827236/,Reality show Cast in Steel aims to attract next generation of metal casters,Manufacturing Dive,industry_media,industry_dive,3,2026-08-13T16:07:31+00:00,IRRELEVANT,HIGH,,,,,Education entertainment programme provides no customer problem or technology evidence.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/veolia-sues-delaware-manufacturers-over-pfas-in-drinking-water/827820/,https://www.manufacturingdive.com/news/veolia-sues-delaware-manufacturers-over-pfas-in-drinking-water/827820/,Veolia sues Delaware manufacturers over PFAS in drinking water,Manufacturing Dive,industry_media,industry_dive,3,2026-08-13T15:59:00+00:00,IRRELEVANT,MEDIUM,,,,,PFAS litigation lacks a stated digital or connectivity response opportunity.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/stanley-black-decker-invest-1b-across-us-manufacturing-rd-training/827788/,https://www.manufacturingdive.com/news/stanley-black-decker-invest-1b-across-us-manufacturing-rd-training/827788/,"Stanley Black & Decker to invest $1B across US manufacturing R&D",Manufacturing Dive,industry_media,industry_dive,3,2026-08-13T15:40:00+00:00,RELEVANT,HIGH,market_move,manufacturing,,,Named $1B investment is a strong manufacturing expansion and capability signal.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.manufacturingdive.com/news/federal-investigator-says-us-steel-explosion-never-should-have-happened-csb-final-report/827667/,https://www.manufacturingdive.com/news/federal-investigator-says-us-steel-explosion-never-should-have-happened-csb-final-report/827667/,Federal investigators say US Steel explosion should never have happened,Manufacturing Dive,industry_media,industry_dive,3,2026-08-12T16:23:00+00:00,RELEVANT,HIGH,proof,manufacturing,worker_safety_monitoring,,Federal findings on deaths and injuries evidence an industrial worker-safety problem.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
