opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Natural Resources | predictive-maintenance | iot-platforms,Natural Resources,predictive-maintenance,iot-platforms,1,1,1,0.9,business_trigger; connectivity; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,100.0,48.5,100.0,78.2,WATCHLIST
Manufacturing | network-optimization | iot-platforms,Manufacturing,network-optimization,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Manufacturing | environmental-emissions-monitoring | iot-platforms,Manufacturing,environmental-emissions-monitoring,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Public/Gov sector | energy-optimization | iot-platforms,Public/Gov sector,energy-optimization,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Energy | energy-optimization | digital-twin,Energy,energy-optimization,digital-twin,10,1,10,0.8,cybersecurity; data_ai; industrial_operations,8.2,8.3,20.0,20.0,56.6,75.0,73.0,0.0,59.8,WATCHLIST
Aerospace | precision-agriculture | iot-platforms,Aerospace,precision-agriculture,iot-platforms,3,1,3,0.8,business_trigger; connectivity; industrial_operations,12.5,8.3,20.0,12.0,52.8,75.0,59.0,33.3,59.6,WATCHLIST
Energy | energy-optimization | blockchain-distributed-ledger,Energy,energy-optimization,blockchain-distributed-ledger,2,1,2,0.8,business_trigger; cloud_edge; connectivity,15.0,8.3,20.0,8.0,51.3,75.0,52.0,50.0,59.6,WATCHLIST
Aerospace | network-optimization | iot-platforms,Aerospace,network-optimization,iot-platforms,1,1,1,0.8,business_trigger; connectivity,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
Automotive | compliance-monitoring | cloud-data-platform,Automotive,compliance-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
"Finance, Banking, Insurance | compliance-monitoring | machine-learning","Finance, Banking, Insurance",compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; data_ai,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
Defense | compliance-monitoring | blockchain-distributed-ledger,Defense,compliance-monitoring,blockchain-distributed-ledger,1,1,1,0.8,business_trigger; cloud_edge; connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,100.0,45.0,0.0,57.7,WATCHLIST
Aerospace | automated-inspection-defect-detection | industrial-robotics,Aerospace,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,business_trigger; industrial_operations,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Automotive | route-optimization | digital-twin,Automotive,route-optimization,digital-twin,1,1,1,0.8,business_trigger; data_ai,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Energy | environmental-emissions-monitoring | cloud-data-platform,Energy,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | cloud-data-platform","Finance, Banking, Insurance",energy-optimization,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Automotive | compliance-monitoring | iot-platforms,Automotive,compliance-monitoring,iot-platforms,1,1,1,0.55,business_trigger; connectivity,30.0,8.3,13.8,4.0,56.1,50.0,36.2,100.0,55.4,WATCHLIST
Aerospace | network-optimization | connectivity-5g,Aerospace,network-optimization,connectivity-5g,3,1,3,0.8,cloud_edge; connectivity; cybersecurity,10.0,8.3,20.0,12.0,50.3,75.0,59.0,0.0,55.2,WATCHLIST
Energy | automated-inspection-defect-detection | industrial-robotics,Energy,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,business_trigger; data_ai; industrial_operations,22.5,8.3,20.0,4.0,54.8,75.0,45.0,0.0,54.9,WATCHLIST
Automotive | predictive-maintenance | digital-twin,Automotive,predictive-maintenance,digital-twin,3,1,3,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,12.0,47.8,75.0,59.0,0.0,54.2,WATCHLIST
Defense | anomaly-detection | digital-twin,Defense,anomaly-detection,digital-twin,1,1,1,0.55,cloud_edge; connectivity; cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,100.0,36.2,0.0,53.9,WATCHLIST
Manufacturing | energy-optimization | iot-platforms,Manufacturing,energy-optimization,iot-platforms,2,1,2,0.9,business_trigger; connectivity,18.8,8.3,22.5,8.0,57.6,50.0,55.5,50.0,53.9,WATCHLIST
Energy | compliance-monitoring | cybersecurity-platform,Energy,compliance-monitoring,cybersecurity-platform,1,1,1,0.45,business_trigger; cybersecurity,30.0,8.3,11.2,4.0,53.6,50.0,32.8,100.0,53.8,WATCHLIST
Retail | compliance-monitoring | computer-vision,Retail,compliance-monitoring,computer-vision,1,1,1,0.45,business_trigger; data_ai,30.0,8.3,11.2,4.0,53.6,50.0,32.8,100.0,53.8,WATCHLIST
Automotive | asset-tracking | rfid-asset-tagging,Automotive,asset-tracking,rfid-asset-tagging,1,1,1,0.9,business_trigger,30.0,8.3,22.5,4.0,64.8,25.0,48.5,100.0,52.0,WATCHLIST
Public/Gov sector | environmental-emissions-monitoring | autonomous-vehicles-drones,Public/Gov sector,environmental-emissions-monitoring,autonomous-vehicles-drones,1,1,1,0.9,business_trigger,30.0,8.3,22.5,4.0,64.8,25.0,48.5,100.0,52.0,WATCHLIST
Defense | anomaly-detection | machine-learning,Defense,anomaly-detection,machine-learning,2,1,2,0.8,connectivity; cybersecurity; data_ai,7.5,8.3,20.0,8.0,43.8,75.0,52.0,0.0,51.6,WATCHLIST
Energy | network-optimization | iot-platforms,Energy,network-optimization,iot-platforms,1,1,1,0.45,business_trigger; connectivity,22.5,8.3,11.2,4.0,46.1,50.0,32.8,100.0,50.8,WATCHLIST
Transportation & Construction | asset-tracking | iot-platforms,Transportation & Construction,asset-tracking,iot-platforms,1,1,1,0.45,business_trigger; connectivity,22.5,8.3,11.2,4.0,46.1,50.0,32.8,100.0,50.8,WATCHLIST
Aerospace | precision-agriculture | computer-vision,Aerospace,precision-agriculture,computer-vision,1,1,1,0.8,cloud_edge; connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Aerospace | predictive-maintenance | industrial-robotics,Aerospace,predictive-maintenance,industrial-robotics,1,1,1,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Aerospace | compliance-monitoring | connectivity-5g,Aerospace,compliance-monitoring,connectivity-5g,1,1,1,0.8,business_trigger; connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Automotive | anomaly-detection | machine-learning,Automotive,anomaly-detection,machine-learning,1,1,1,0.8,connectivity; cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Defense | compliance-monitoring | edge-computing,Defense,compliance-monitoring,edge-computing,1,1,1,0.8,business_trigger; cloud_edge; connectivity,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Defense | anomaly-detection | cloud-data-platform,Defense,anomaly-detection,cloud-data-platform,1,1,1,0.8,cloud_edge; cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Retail | production-scheduling | iot-platforms,Retail,production-scheduling,iot-platforms,1,1,1,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Wholesale | production-scheduling | cloud-data-platform,Wholesale,production-scheduling,cloud-data-platform,1,1,1,0.8,cloud_edge; connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Automotive | predictive-maintenance | machine-learning,Automotive,predictive-maintenance,machine-learning,2,1,2,0.55,connectivity; data_ai; industrial_operations,7.5,8.3,13.8,8.0,37.6,75.0,43.2,0.0,47.8,WATCHLIST
Public/Gov sector | route-optimization | iot-platforms,Public/Gov sector,route-optimization,iot-platforms,1,1,1,0.8,connectivity,22.5,8.3,20.0,4.0,54.8,25.0,45.0,100.0,47.4,WATCHLIST
Automotive | route-optimization | machine-learning,Automotive,route-optimization,machine-learning,1,1,1,0.55,data_ai,30.0,8.3,13.8,4.0,56.1,25.0,36.2,100.0,46.6,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | digital-twin","Finance, Banking, Insurance",energy-optimization,digital-twin,1,1,1,0.8,business_trigger; data_ai,22.5,8.3,20.0,4.0,54.8,50.0,45.0,0.0,46.2,WATCHLIST
Manufacturing | production-scheduling | machine-learning,Manufacturing,production-scheduling,machine-learning,1,1,1,0.55,cloud_edge; data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,75.0,36.2,0.0,45.1,WATCHLIST
Media & Entertainment | customer-segmentation | cloud-data-platform,Media & Entertainment,customer-segmentation,cloud-data-platform,1,1,1,0.55,cloud_edge; connectivity; data_ai,7.5,8.3,13.8,4.0,33.6,75.0,36.2,0.0,45.1,WATCHLIST
Aerospace | predictive-maintenance | edge-computing,Aerospace,predictive-maintenance,edge-computing,1,1,1,0.45,cloud_edge; data_ai; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Automotive | risk-scoring | computer-vision,Automotive,risk-scoring,computer-vision,1,1,1,0.55,data_ai,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Defense | asset-tracking | iot-platforms,Defense,asset-tracking,iot-platforms,1,1,1,0.55,connectivity,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Healthcare | document-processing-extraction | machine-learning,Healthcare,document-processing-extraction,machine-learning,1,1,1,0.55,data_ai,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Manufacturing | anomaly-detection | cybersecurity-platform,Manufacturing,anomaly-detection,cybersecurity-platform,1,1,1,0.45,connectivity; cybersecurity; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Public/Gov sector | asset-tracking | blockchain-distributed-ledger,Public/Gov sector,asset-tracking,blockchain-distributed-ledger,1,1,1,0.45,cloud_edge; cybersecurity; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Automotive | asset-tracking | digital-twin,Automotive,asset-tracking,digital-twin,1,1,1,0.8,data_ai; industrial_operations,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Defense | kyc-aml-automation | blockchain-distributed-ledger,Defense,kyc-aml-automation,blockchain-distributed-ledger,1,1,1,0.8,cloud_edge; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
"Finance, Banking, Insurance | automated-inspection-defect-detection | digital-twin","Finance, Banking, Insurance",automated-inspection-defect-detection,digital-twin,1,1,1,0.8,connectivity; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Manufacturing | asset-tracking | machine-learning,Manufacturing,asset-tracking,machine-learning,1,1,1,0.8,cloud_edge; connectivity,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Retail | route-optimization | cloud-data-platform,Retail,route-optimization,cloud-data-platform,1,1,1,0.8,cloud_edge; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Transportation & Construction | network-optimization | digital-twin,Transportation & Construction,network-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Retail | automated-inspection-defect-detection | computer-vision,Retail,automated-inspection-defect-detection,computer-vision,2,1,2,0.8,data_ai; industrial_operations,7.5,8.3,20.0,8.0,43.8,50.0,52.0,0.0,42.8,WATCHLIST
Retail | environmental-emissions-monitoring | iot-platforms,Retail,environmental-emissions-monitoring,iot-platforms,2,1,2,0.8,connectivity; industrial_operations,7.5,8.3,20.0,8.0,43.8,50.0,52.0,0.0,42.8,WATCHLIST
"Finance, Banking, Insurance | risk-scoring | cloud-data-platform","Finance, Banking, Insurance",risk-scoring,cloud-data-platform,1,1,1,0.45,cloud_edge,22.5,8.3,11.2,4.0,46.1,25.0,32.8,100.0,42.1,WATCHLIST
Automotive | asset-tracking | autonomous-vehicles-drones,Automotive,asset-tracking,autonomous-vehicles-drones,1,1,1,0.9,business_trigger; industrial_operations,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Defense | asset-tracking | computer-vision,Defense,asset-tracking,computer-vision,1,1,1,0.9,cybersecurity; data_ai,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Defense | environmental-emissions-monitoring | cloud-data-platform,Defense,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.9,cloud_edge; cybersecurity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Healthcare | compliance-monitoring | iot-platforms,Healthcare,compliance-monitoring,iot-platforms,1,1,1,0.9,business_trigger; connectivity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Media & Entertainment | compliance-monitoring | cybersecurity-platform,Media & Entertainment,compliance-monitoring,cybersecurity-platform,1,1,1,0.9,business_trigger; cybersecurity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Public/Gov sector | network-optimization | iot-platforms,Public/Gov sector,network-optimization,iot-platforms,1,1,1,0.9,connectivity; data_ai,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Transportation & Construction | predictive-maintenance | machine-learning,Transportation & Construction,predictive-maintenance,machine-learning,1,1,1,0.45,data_ai; industrial_operations,22.5,8.3,11.2,4.0,46.1,50.0,32.8,0.0,40.8,WATCHLIST
Aerospace | predictive-maintenance | digital-twin,Aerospace,predictive-maintenance,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Aerospace | environmental-emissions-monitoring | digital-twin,Aerospace,environmental-emissions-monitoring,digital-twin,1,1,1,0.8,cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Aerospace | predictive-maintenance | autonomous-vehicles-drones,Aerospace,predictive-maintenance,autonomous-vehicles-drones,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Aerospace | asset-tracking | blockchain-distributed-ledger,Aerospace,asset-tracking,blockchain-distributed-ledger,1,1,1,0.8,cloud_edge; connectivity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | energy-optimization | machine-learning,Automotive,energy-optimization,machine-learning,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | anomaly-detection | computer-vision,Automotive,anomaly-detection,computer-vision,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | network-optimization | digital-twin,Automotive,network-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | predictive-maintenance | industrial-robotics,Automotive,predictive-maintenance,industrial-robotics,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | route-optimization | machine-learning,Defense,route-optimization,machine-learning,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | compliance-monitoring | cloud-data-platform,Defense,compliance-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | compliance-monitoring | machine-learning,Defense,compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | network-optimization | cybersecurity-platform,Defense,network-optimization,cybersecurity-platform,1,1,1,0.8,connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | cloud-data-platform","Finance, Banking, Insurance",kyc-aml-automation,cloud-data-platform,1,1,1,0.8,cloud_edge; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | iot-platforms","Finance, Banking, Insurance",energy-optimization,iot-platforms,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Lifesciences | inventory-optimization | digital-twin,Lifesciences,inventory-optimization,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Lifesciences | precision-agriculture | machine-learning,Lifesciences,precision-agriculture,machine-learning,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Manufacturing | environmental-emissions-monitoring | cloud-data-platform,Manufacturing,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,cloud_edge; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Manufacturing | energy-optimization | machine-learning,Manufacturing,energy-optimization,machine-learning,1,1,1,0.8,cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Media & Entertainment | predictive-maintenance | digital-twin,Media & Entertainment,predictive-maintenance,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Natural Resources | compliance-monitoring | iot-platforms,Natural Resources,compliance-monitoring,iot-platforms,1,1,1,0.8,business_trigger; connectivity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Public/Gov sector | anomaly-detection | computer-vision,Public/Gov sector,anomaly-detection,computer-vision,1,1,1,0.8,connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Retail | energy-optimization | blockchain-distributed-ledger,Retail,energy-optimization,blockchain-distributed-ledger,1,1,1,0.8,business_trigger; cloud_edge,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Retail | automated-inspection-defect-detection | iot-platforms,Retail,automated-inspection-defect-detection,iot-platforms,1,1,1,0.8,connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Wholesale | route-optimization | digital-twin,Wholesale,route-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Wholesale | energy-optimization | iot-platforms,Wholesale,energy-optimization,iot-platforms,1,1,1,0.8,connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | asset-tracking | cloud-data-platform,Automotive,asset-tracking,cloud-data-platform,1,1,1,0.55,cloud_edge; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
"Finance, Banking, Insurance | personalized-recommendations | machine-learning","Finance, Banking, Insurance",personalized-recommendations,machine-learning,1,1,1,0.55,cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Manufacturing | production-scheduling | iot-platforms,Manufacturing,production-scheduling,iot-platforms,1,1,1,0.55,connectivity; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Manufacturing | predictive-maintenance | machine-learning,Manufacturing,predictive-maintenance,machine-learning,1,1,1,0.55,data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Public/Gov sector | document-processing-extraction | cloud-data-platform,Public/Gov sector,document-processing-extraction,cloud-data-platform,1,1,1,0.55,cloud_edge; cybersecurity,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Public/Gov sector | anomaly-detection | machine-learning,Public/Gov sector,anomaly-detection,machine-learning,1,1,1,0.55,cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Retail | warehouse-automation | warehouse-automation-systems,Retail,warehouse-automation,warehouse-automation-systems,1,1,1,0.55,data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Aerospace | asset-tracking | industrial-robotics,Aerospace,asset-tracking,industrial-robotics,1,1,1,0.45,connectivity; industrial_operations,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Aerospace | anomaly-detection | cybersecurity-platform,Aerospace,anomaly-detection,cybersecurity-platform,1,1,1,0.45,cloud_edge; cybersecurity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Automotive | compliance-monitoring | computer-vision,Automotive,compliance-monitoring,computer-vision,1,1,1,0.45,business_trigger; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Defense | energy-optimization | digital-twin,Defense,energy-optimization,digital-twin,1,1,1,0.45,cybersecurity; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | blockchain-distributed-ledger","Finance, Banking, Insurance",kyc-aml-automation,blockchain-distributed-ledger,1,1,1,0.45,cloud_edge; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Lifesciences | compliance-monitoring | iot-platforms,Lifesciences,compliance-monitoring,iot-platforms,1,1,1,0.45,business_trigger; connectivity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Wholesale | anomaly-detection | cybersecurity-platform,Wholesale,anomaly-detection,cybersecurity-platform,1,1,1,0.45,connectivity; cybersecurity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Energy | route-optimization | machine-learning,Energy,route-optimization,machine-learning,1,1,1,0.8,data_ai,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Natural Resources | environmental-emissions-monitoring | cloud-data-platform,Natural Resources,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,cloud_edge,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Public/Gov sector | anomaly-detection | iot-platforms,Public/Gov sector,anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Retail | energy-optimization | cloud-data-platform,Retail,energy-optimization,cloud-data-platform,1,1,1,0.8,cloud_edge,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Media & Entertainment | automated-inspection-defect-detection | computer-vision,Media & Entertainment,automated-inspection-defect-detection,computer-vision,2,1,2,0.8,data_ai,7.5,8.3,20.0,8.0,43.8,25.0,52.0,0.0,34.1,WATCHLIST
Transportation & Construction | environmental-emissions-monitoring | digital-twin,Transportation & Construction,environmental-emissions-monitoring,digital-twin,2,1,2,0.8,data_ai,7.5,8.3,20.0,8.0,43.8,25.0,52.0,0.0,34.1,WATCHLIST
Aerospace | diagnostic-support | computer-vision,Aerospace,diagnostic-support,computer-vision,1,1,1,0.9,data_ai,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Defense | anomaly-detection | computer-vision,Defense,anomaly-detection,computer-vision,1,1,1,0.9,data_ai,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
