opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Public/Gov sector | compliance-monitoring | cybersecurity-platform,Public/Gov sector,compliance-monitoring,cybersecurity-platform,7,5,7,0.693,business_trigger; cloud_edge; connectivity; cybersecurity,13.9,25.0,17.3,20.0,76.2,100.0,89.2,28.6,81.7,RADAR
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,8,2,8,0.638,business_trigger; connectivity; industrial_operations,12.2,16.7,15.9,20.0,64.8,75.0,77.3,25.0,66.3,RADAR
Aerospace | environmental-emissions-monitoring | cloud-data-platform,Aerospace,environmental-emissions-monitoring,cloud-data-platform,4,2,4,0.712,cloud_edge; connectivity; data_ai,11.2,16.7,17.8,16.0,61.7,75.0,72.9,25.0,64.4,RADAR
Energy | energy-optimization | iot-platforms,Energy,energy-optimization,iot-platforms,9,2,9,0.761,cloud_edge; connectivity; industrial_operations,9.2,16.7,19.0,20.0,64.9,75.0,81.6,0.0,64.4,RADAR
Energy | predictive-maintenance | digital-twin,Energy,predictive-maintenance,digital-twin,2,2,2,0.675,business_trigger; data_ai; industrial_operations,18.8,16.7,16.9,8.0,60.3,75.0,57.6,50.0,64.0,RADAR
Automotive | route-optimization | autonomous-vehicles-drones,Automotive,route-optimization,autonomous-vehicles-drones,3,3,3,0.717,business_trigger; industrial_operations,20.0,25.0,17.9,12.0,74.9,50.0,76.1,33.3,62.2,RADAR
Automotive | compliance-monitoring | cybersecurity-platform,Automotive,compliance-monitoring,cybersecurity-platform,2,2,2,0.5,business_trigger; connectivity; cybersecurity; industrial_operations,11.2,16.7,12.5,8.0,48.4,100.0,51.5,0.0,62.1,RADAR
Energy | predictive-maintenance | iot-platforms,Energy,predictive-maintenance,iot-platforms,4,2,4,0.825,connectivity; data_ai; industrial_operations,7.5,16.7,20.6,16.0,60.8,75.0,76.9,0.0,62.1,RADAR
Media & Entertainment | energy-optimization | iot-platforms,Media & Entertainment,energy-optimization,iot-platforms,2,2,2,0.85,business_trigger; connectivity,22.5,16.7,21.3,8.0,68.4,50.0,63.8,50.0,59.4,RADAR
Aerospace | asset-tracking | iot-platforms,Aerospace,asset-tracking,iot-platforms,6,4,6,0.642,connectivity; cybersecurity,10.0,25.0,16.0,20.0,71.0,50.0,87.5,0.0,59.0,RADAR
Natural Resources | environmental-emissions-monitoring | iot-platforms,Natural Resources,environmental-emissions-monitoring,iot-platforms,4,2,4,0.825,business_trigger; connectivity,13.1,16.7,20.6,16.0,66.4,50.0,76.9,25.0,58.1,RADAR
Wholesale | asset-tracking | rfid-asset-tagging,Wholesale,asset-tracking,rfid-asset-tagging,2,2,2,0.675,business_trigger; industrial_operations,18.8,16.7,16.9,8.0,60.3,50.0,57.6,50.0,55.3,RADAR
Aerospace | environmental-emissions-monitoring | machine-learning,Aerospace,environmental-emissions-monitoring,machine-learning,5,2,5,0.73,connectivity; data_ai,9.0,16.7,18.2,20.0,63.9,50.0,80.6,0.0,55.1,RADAR
Aerospace | environmental-emissions-monitoring | computer-vision,Aerospace,environmental-emissions-monitoring,computer-vision,4,3,4,0.625,connectivity; data_ai,7.5,25.0,15.6,16.0,64.1,50.0,79.9,0.0,55.1,RADAR
Energy | energy-optimization | machine-learning,Energy,energy-optimization,machine-learning,4,4,4,0.538,cybersecurity; data_ai,7.5,25.0,13.4,16.0,61.9,50.0,76.8,0.0,53.8,RADAR
Defense | anomaly-detection | iot-platforms,Defense,anomaly-detection,iot-platforms,3,2,3,0.833,connectivity; cybersecurity,7.5,16.7,20.8,12.0,57.0,50.0,70.2,0.0,50.8,RADAR
Wholesale | asset-tracking | iot-platforms,Wholesale,asset-tracking,iot-platforms,3,2,3,0.833,connectivity; data_ai,7.5,16.7,20.8,12.0,57.0,50.0,70.2,0.0,50.8,RADAR
Transportation & Construction | warehouse-automation | warehouse-automation-systems,Transportation & Construction,warehouse-automation,warehouse-automation-systems,3,3,3,0.483,data_ai; industrial_operations,7.5,25.0,12.1,12.0,56.6,50.0,67.9,0.0,50.3,RADAR
Transportation & Construction | route-optimization | machine-learning,Transportation & Construction,route-optimization,machine-learning,3,3,3,0.45,data_ai; industrial_operations,7.5,25.0,11.2,12.0,55.8,50.0,66.8,0.0,49.8,RADAR
Defense | environmental-emissions-monitoring | iot-platforms,Defense,environmental-emissions-monitoring,iot-platforms,2,2,2,0.9,business_trigger; connectivity,7.5,16.7,22.5,8.0,54.7,50.0,65.5,0.0,49.2,RADAR
Transportation & Construction | energy-optimization | iot-platforms,Transportation & Construction,energy-optimization,iot-platforms,2,2,2,0.9,connectivity; data_ai,7.5,16.7,22.5,8.0,54.7,50.0,65.5,0.0,49.2,RADAR
Aerospace | anomaly-detection | machine-learning,Aerospace,anomaly-detection,machine-learning,2,2,2,0.625,business_trigger; data_ai,15.0,16.7,15.6,8.0,55.3,50.0,55.9,0.0,48.0,RADAR
Energy | anomaly-detection | cybersecurity-platform,Energy,anomaly-detection,cybersecurity-platform,2,2,2,0.675,connectivity; cybersecurity,7.5,16.7,16.9,8.0,49.0,50.0,57.6,0.0,45.8,RADAR
"Finance, Banking, Insurance | risk-scoring | machine-learning","Finance, Banking, Insurance",risk-scoring,machine-learning,2,2,2,0.675,connectivity; data_ai,7.5,16.7,16.9,8.0,49.0,50.0,57.6,0.0,45.8,RADAR
Aerospace | automated-inspection-defect-detection | computer-vision,Aerospace,automated-inspection-defect-detection,computer-vision,2,2,2,0.625,data_ai; industrial_operations,7.5,16.7,15.6,8.0,47.8,50.0,55.9,0.0,45.0,RADAR
Automotive | anomaly-detection | cybersecurity-platform,Automotive,anomaly-detection,cybersecurity-platform,2,2,2,0.625,connectivity; cybersecurity,7.5,16.7,15.6,8.0,47.8,50.0,55.9,0.0,45.0,RADAR
Retail | personalized-recommendations | machine-learning,Retail,personalized-recommendations,machine-learning,2,2,2,0.625,connectivity; data_ai,7.5,16.7,15.6,8.0,47.8,50.0,55.9,0.0,45.0,RADAR
Retail | warehouse-automation | industrial-robotics,Retail,warehouse-automation,industrial-robotics,2,2,2,0.625,data_ai; industrial_operations,7.5,16.7,15.6,8.0,47.8,50.0,55.9,0.0,45.0,RADAR
Aerospace | route-optimization | autonomous-vehicles-drones,Aerospace,route-optimization,autonomous-vehicles-drones,2,2,2,0.45,business_trigger,22.5,16.7,11.2,8.0,58.4,25.0,49.8,50.0,44.6,RADAR
Aerospace | environmental-emissions-monitoring | iot-platforms,Aerospace,environmental-emissions-monitoring,iot-platforms,3,2,3,0.683,connectivity,7.5,16.7,17.1,12.0,53.2,25.0,64.9,0.0,39.8,RADAR
Healthcare | diagnostic-support | machine-learning,Healthcare,diagnostic-support,machine-learning,3,2,3,0.683,data_ai,7.5,16.7,17.1,12.0,53.2,25.0,64.9,0.0,39.8,RADAR
Automotive | energy-optimization | iot-platforms,Automotive,energy-optimization,iot-platforms,2,2,2,0.85,connectivity,7.5,16.7,21.3,8.0,53.4,25.0,63.8,0.0,39.7,RADAR
Lifesciences | diagnostic-support | machine-learning,Lifesciences,diagnostic-support,machine-learning,2,2,2,0.85,data_ai,7.5,16.7,21.3,8.0,53.4,25.0,63.8,0.0,39.7,RADAR
Automotive | automated-inspection-defect-detection | computer-vision,Automotive,automated-inspection-defect-detection,computer-vision,2,2,2,0.675,data_ai,7.5,16.7,16.9,8.0,49.0,25.0,57.6,0.0,37.0,RADAR
Natural Resources | predictive-maintenance | iot-platforms,Natural Resources,predictive-maintenance,iot-platforms,1,1,1,0.9,business_trigger; connectivity; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,100.0,48.5,100.0,78.2,WATCHLIST
Public/Gov sector | asset-tracking | iot-platforms,Public/Gov sector,asset-tracking,iot-platforms,1,1,1,0.55,business_trigger; cloud_edge; connectivity; industrial_operations,22.5,8.3,13.8,4.0,48.6,100.0,36.2,100.0,69.9,WATCHLIST
Wholesale | warehouse-automation | warehouse-automation-systems,Wholesale,warehouse-automation,warehouse-automation-systems,1,1,1,0.9,business_trigger; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,75.0,48.5,100.0,69.5,WATCHLIST
Aerospace | predictive-maintenance | iot-platforms,Aerospace,predictive-maintenance,iot-platforms,2,1,2,0.8,business_trigger; connectivity; data_ai; industrial_operations,15.0,8.3,20.0,8.0,51.3,100.0,52.0,50.0,68.3,WATCHLIST
Energy | energy-optimization | cloud-data-platform,Energy,energy-optimization,cloud-data-platform,3,1,3,0.8,business_trigger; cloud_edge; connectivity; industrial_operations,12.5,8.3,20.0,12.0,52.8,100.0,59.0,33.3,68.3,WATCHLIST
Public/Gov sector | compliance-monitoring | machine-learning,Public/Gov sector,compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; cybersecurity; data_ai,30.0,8.3,20.0,4.0,62.3,75.0,45.0,100.0,67.9,WATCHLIST
Public/Gov sector | compliance-monitoring | iot-platforms,Public/Gov sector,compliance-monitoring,iot-platforms,1,1,1,0.8,business_trigger; connectivity; cybersecurity,22.5,8.3,20.0,4.0,54.8,75.0,45.0,100.0,64.9,WATCHLIST
Defense | automated-inspection-defect-detection | iot-platforms,Defense,automated-inspection-defect-detection,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
"Finance, Banking, Insurance | compliance-monitoring | computer-vision","Finance, Banking, Insurance",compliance-monitoring,computer-vision,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Lifesciences | anomaly-detection | cybersecurity-platform,Lifesciences,anomaly-detection,cybersecurity-platform,1,1,1,0.9,business_trigger; cybersecurity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Manufacturing | asset-tracking | autonomous-vehicles-drones,Manufacturing,asset-tracking,autonomous-vehicles-drones,1,1,1,0.9,business_trigger; industrial_operations,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Manufacturing | network-optimization | iot-platforms,Manufacturing,network-optimization,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Manufacturing | environmental-emissions-monitoring | iot-platforms,Manufacturing,environmental-emissions-monitoring,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Public/Gov sector | energy-optimization | iot-platforms,Public/Gov sector,energy-optimization,iot-platforms,1,1,1,0.9,business_trigger; connectivity,30.0,8.3,22.5,4.0,64.8,50.0,48.5,100.0,60.7,WATCHLIST
Energy | energy-optimization | digital-twin,Energy,energy-optimization,digital-twin,10,1,10,0.8,cybersecurity; data_ai; industrial_operations,8.2,8.3,20.0,20.0,56.6,75.0,73.0,0.0,59.8,WATCHLIST
Aerospace | precision-agriculture | iot-platforms,Aerospace,precision-agriculture,iot-platforms,3,1,3,0.8,business_trigger; connectivity; industrial_operations,12.5,8.3,20.0,12.0,52.8,75.0,59.0,33.3,59.6,WATCHLIST
Energy | energy-optimization | blockchain-distributed-ledger,Energy,energy-optimization,blockchain-distributed-ledger,2,1,2,0.8,business_trigger; cloud_edge; connectivity,15.0,8.3,20.0,8.0,51.3,75.0,52.0,50.0,59.6,WATCHLIST
Aerospace | network-optimization | iot-platforms,Aerospace,network-optimization,iot-platforms,1,1,1,0.8,business_trigger; connectivity,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
Automotive | compliance-monitoring | cloud-data-platform,Automotive,compliance-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
"Finance, Banking, Insurance | compliance-monitoring | machine-learning","Finance, Banking, Insurance",compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; data_ai,30.0,8.3,20.0,4.0,62.3,50.0,45.0,100.0,59.2,WATCHLIST
Defense | compliance-monitoring | blockchain-distributed-ledger,Defense,compliance-monitoring,blockchain-distributed-ledger,1,1,1,0.8,business_trigger; cloud_edge; connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,100.0,45.0,0.0,57.7,WATCHLIST
Aerospace | automated-inspection-defect-detection | industrial-robotics,Aerospace,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,business_trigger; industrial_operations,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Automotive | route-optimization | digital-twin,Automotive,route-optimization,digital-twin,1,1,1,0.8,business_trigger; data_ai,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Energy | environmental-emissions-monitoring | cloud-data-platform,Energy,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | cloud-data-platform","Finance, Banking, Insurance",energy-optimization,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,22.5,8.3,20.0,4.0,54.8,50.0,45.0,100.0,56.2,WATCHLIST
Automotive | compliance-monitoring | iot-platforms,Automotive,compliance-monitoring,iot-platforms,1,1,1,0.55,business_trigger; connectivity,30.0,8.3,13.8,4.0,56.1,50.0,36.2,100.0,55.4,WATCHLIST
Aerospace | network-optimization | connectivity-5g,Aerospace,network-optimization,connectivity-5g,3,1,3,0.8,cloud_edge; connectivity; cybersecurity,10.0,8.3,20.0,12.0,50.3,75.0,59.0,0.0,55.2,WATCHLIST
Energy | automated-inspection-defect-detection | industrial-robotics,Energy,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,business_trigger; data_ai; industrial_operations,22.5,8.3,20.0,4.0,54.8,75.0,45.0,0.0,54.9,WATCHLIST
Automotive | predictive-maintenance | digital-twin,Automotive,predictive-maintenance,digital-twin,3,1,3,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,12.0,47.8,75.0,59.0,0.0,54.2,WATCHLIST
Defense | anomaly-detection | digital-twin,Defense,anomaly-detection,digital-twin,1,1,1,0.55,cloud_edge; connectivity; cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,100.0,36.2,0.0,53.9,WATCHLIST
Manufacturing | energy-optimization | iot-platforms,Manufacturing,energy-optimization,iot-platforms,2,1,2,0.9,business_trigger; connectivity,18.8,8.3,22.5,8.0,57.6,50.0,55.5,50.0,53.9,WATCHLIST
Energy | compliance-monitoring | cybersecurity-platform,Energy,compliance-monitoring,cybersecurity-platform,1,1,1,0.45,business_trigger; cybersecurity,30.0,8.3,11.2,4.0,53.6,50.0,32.8,100.0,53.8,WATCHLIST
Retail | compliance-monitoring | computer-vision,Retail,compliance-monitoring,computer-vision,1,1,1,0.45,business_trigger; data_ai,30.0,8.3,11.2,4.0,53.6,50.0,32.8,100.0,53.8,WATCHLIST
Automotive | asset-tracking | rfid-asset-tagging,Automotive,asset-tracking,rfid-asset-tagging,1,1,1,0.9,business_trigger,30.0,8.3,22.5,4.0,64.8,25.0,48.5,100.0,52.0,WATCHLIST
Public/Gov sector | environmental-emissions-monitoring | autonomous-vehicles-drones,Public/Gov sector,environmental-emissions-monitoring,autonomous-vehicles-drones,1,1,1,0.9,business_trigger,30.0,8.3,22.5,4.0,64.8,25.0,48.5,100.0,52.0,WATCHLIST
Defense | anomaly-detection | machine-learning,Defense,anomaly-detection,machine-learning,2,1,2,0.8,connectivity; cybersecurity; data_ai,7.5,8.3,20.0,8.0,43.8,75.0,52.0,0.0,51.6,WATCHLIST
Energy | network-optimization | iot-platforms,Energy,network-optimization,iot-platforms,1,1,1,0.45,business_trigger; connectivity,22.5,8.3,11.2,4.0,46.1,50.0,32.8,100.0,50.8,WATCHLIST
Transportation & Construction | asset-tracking | iot-platforms,Transportation & Construction,asset-tracking,iot-platforms,1,1,1,0.45,business_trigger; connectivity,22.5,8.3,11.2,4.0,46.1,50.0,32.8,100.0,50.8,WATCHLIST
Aerospace | precision-agriculture | computer-vision,Aerospace,precision-agriculture,computer-vision,1,1,1,0.8,cloud_edge; connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Aerospace | predictive-maintenance | industrial-robotics,Aerospace,predictive-maintenance,industrial-robotics,1,1,1,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Aerospace | compliance-monitoring | connectivity-5g,Aerospace,compliance-monitoring,connectivity-5g,1,1,1,0.8,business_trigger; connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Automotive | anomaly-detection | machine-learning,Automotive,anomaly-detection,machine-learning,1,1,1,0.8,connectivity; cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Defense | compliance-monitoring | edge-computing,Defense,compliance-monitoring,edge-computing,1,1,1,0.8,business_trigger; cloud_edge; connectivity,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Defense | anomaly-detection | cloud-data-platform,Defense,anomaly-detection,cloud-data-platform,1,1,1,0.8,cloud_edge; cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Retail | production-scheduling | iot-platforms,Retail,production-scheduling,iot-platforms,1,1,1,0.8,connectivity; data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Wholesale | production-scheduling | cloud-data-platform,Wholesale,production-scheduling,cloud-data-platform,1,1,1,0.8,cloud_edge; connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,75.0,45.0,0.0,48.9,WATCHLIST
Automotive | predictive-maintenance | machine-learning,Automotive,predictive-maintenance,machine-learning,2,1,2,0.55,connectivity; data_ai; industrial_operations,7.5,8.3,13.8,8.0,37.6,75.0,43.2,0.0,47.8,WATCHLIST
Public/Gov sector | route-optimization | iot-platforms,Public/Gov sector,route-optimization,iot-platforms,1,1,1,0.8,connectivity,22.5,8.3,20.0,4.0,54.8,25.0,45.0,100.0,47.4,WATCHLIST
Automotive | route-optimization | machine-learning,Automotive,route-optimization,machine-learning,1,1,1,0.55,data_ai,30.0,8.3,13.8,4.0,56.1,25.0,36.2,100.0,46.6,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | digital-twin","Finance, Banking, Insurance",energy-optimization,digital-twin,1,1,1,0.8,business_trigger; data_ai,22.5,8.3,20.0,4.0,54.8,50.0,45.0,0.0,46.2,WATCHLIST
Manufacturing | production-scheduling | machine-learning,Manufacturing,production-scheduling,machine-learning,1,1,1,0.55,cloud_edge; data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,75.0,36.2,0.0,45.1,WATCHLIST
Media & Entertainment | customer-segmentation | cloud-data-platform,Media & Entertainment,customer-segmentation,cloud-data-platform,1,1,1,0.55,cloud_edge; connectivity; data_ai,7.5,8.3,13.8,4.0,33.6,75.0,36.2,0.0,45.1,WATCHLIST
Aerospace | predictive-maintenance | edge-computing,Aerospace,predictive-maintenance,edge-computing,1,1,1,0.45,cloud_edge; data_ai; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Automotive | risk-scoring | computer-vision,Automotive,risk-scoring,computer-vision,1,1,1,0.55,data_ai,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Defense | asset-tracking | iot-platforms,Defense,asset-tracking,iot-platforms,1,1,1,0.55,connectivity,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Healthcare | document-processing-extraction | machine-learning,Healthcare,document-processing-extraction,machine-learning,1,1,1,0.55,data_ai,22.5,8.3,13.8,4.0,48.6,25.0,36.2,100.0,43.6,WATCHLIST
Manufacturing | anomaly-detection | cybersecurity-platform,Manufacturing,anomaly-detection,cybersecurity-platform,1,1,1,0.45,connectivity; cybersecurity; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Public/Gov sector | asset-tracking | blockchain-distributed-ledger,Public/Gov sector,asset-tracking,blockchain-distributed-ledger,1,1,1,0.45,cloud_edge; cybersecurity; industrial_operations,7.5,8.3,11.2,4.0,31.1,75.0,32.8,0.0,43.6,WATCHLIST
Automotive | asset-tracking | digital-twin,Automotive,asset-tracking,digital-twin,1,1,1,0.8,data_ai; industrial_operations,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Defense | kyc-aml-automation | blockchain-distributed-ledger,Defense,kyc-aml-automation,blockchain-distributed-ledger,1,1,1,0.8,cloud_edge; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
"Finance, Banking, Insurance | automated-inspection-defect-detection | digital-twin","Finance, Banking, Insurance",automated-inspection-defect-detection,digital-twin,1,1,1,0.8,connectivity; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Manufacturing | asset-tracking | machine-learning,Manufacturing,asset-tracking,machine-learning,1,1,1,0.8,cloud_edge; connectivity,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Retail | route-optimization | cloud-data-platform,Retail,route-optimization,cloud-data-platform,1,1,1,0.8,cloud_edge; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Transportation & Construction | network-optimization | digital-twin,Transportation & Construction,network-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,15.0,8.3,20.0,4.0,47.3,50.0,45.0,0.0,43.2,WATCHLIST
Retail | automated-inspection-defect-detection | computer-vision,Retail,automated-inspection-defect-detection,computer-vision,2,1,2,0.8,data_ai; industrial_operations,7.5,8.3,20.0,8.0,43.8,50.0,52.0,0.0,42.8,WATCHLIST
Retail | environmental-emissions-monitoring | iot-platforms,Retail,environmental-emissions-monitoring,iot-platforms,2,1,2,0.8,connectivity; industrial_operations,7.5,8.3,20.0,8.0,43.8,50.0,52.0,0.0,42.8,WATCHLIST
"Finance, Banking, Insurance | risk-scoring | cloud-data-platform","Finance, Banking, Insurance",risk-scoring,cloud-data-platform,1,1,1,0.45,cloud_edge,22.5,8.3,11.2,4.0,46.1,25.0,32.8,100.0,42.1,WATCHLIST
Automotive | asset-tracking | autonomous-vehicles-drones,Automotive,asset-tracking,autonomous-vehicles-drones,1,1,1,0.9,business_trigger; industrial_operations,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Defense | asset-tracking | computer-vision,Defense,asset-tracking,computer-vision,1,1,1,0.9,cybersecurity; data_ai,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Defense | environmental-emissions-monitoring | cloud-data-platform,Defense,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.9,cloud_edge; cybersecurity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Healthcare | compliance-monitoring | iot-platforms,Healthcare,compliance-monitoring,iot-platforms,1,1,1,0.9,business_trigger; connectivity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Media & Entertainment | compliance-monitoring | cybersecurity-platform,Media & Entertainment,compliance-monitoring,cybersecurity-platform,1,1,1,0.9,business_trigger; cybersecurity,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Public/Gov sector | network-optimization | iot-platforms,Public/Gov sector,network-optimization,iot-platforms,1,1,1,0.9,connectivity; data_ai,7.5,8.3,22.5,4.0,42.3,50.0,48.5,0.0,41.7,WATCHLIST
Transportation & Construction | predictive-maintenance | machine-learning,Transportation & Construction,predictive-maintenance,machine-learning,1,1,1,0.45,data_ai; industrial_operations,22.5,8.3,11.2,4.0,46.1,50.0,32.8,0.0,40.8,WATCHLIST
Aerospace | predictive-maintenance | digital-twin,Aerospace,predictive-maintenance,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Aerospace | environmental-emissions-monitoring | digital-twin,Aerospace,environmental-emissions-monitoring,digital-twin,1,1,1,0.8,cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
