article_id,vertical,title,summary,url,source_name,source_type,published_date,time_window,classification_status,use_case_id,technology_id,classification_confidence,classification_evidence,ml_usefulness_probability,ml_keep_recommended,source_quality_prior,source_independence_group,source_role,date_quality_flag,signal_type,signal_confidence,orange_relevance,orange_relevance_confidence,orange_fit_basis,orange_relevance_rationale,event_key,event_key_method,enrichment_method,enrichment_status,review_status,auto_positive_groups,auto_negative_groups,auto_matched_terms,auto_signal_terms,signal_points,is_urgent_signal,scoring_exclusion_reason
11278,Automotive,Switzerland – Railway freight wagons – Beschaffung Flachwagen,"Buyer: ['zB Zentralbahn AG, Division production et matériel roulant'] | Country: CHE | Notice type: cn-standard",https://ted.europa.eu/bg/notice/-/detail/581142-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,asset-tracking,,0.3,"The article mentions the procurement of railway freight wagons by Zentralbahn AG. While wagons are physical assets that require tracking, the article itself is just a procurement notice and does not describe an actual use case or technology application.",0.08600806444883347,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/581142-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,industrial_operations; business_trigger,,industrial_operations:production; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
45843,Automotive,"Estonia – Repair and maintenance services of motor vehicles and associated equipment – Sõidukite, seadmete ning eritehnika hüdraulika- ja pneumaatika süsteemidele tarvikute, kauba ja teenuse ostmine","Buyer: ['Aktsiaselts Tallinna Lennujaam', 'AS Airport City', 'AS Tallinn Airport GH'] | Country: EST | Notice type: can-standard",https://ted.europa.eu/bg/notice/-/detail/550800-2025,TED,ted,2025-08-22T00:00:00+00:00,,needs_review,predictive-maintenance,,0.2,"The article title mentions 'Repair and maintenance services of motor vehicles', which relates to the maintenance domain, but it is primarily a procurement notice for supplies and services rather than a description of a predictive maintenance use case.",0.7316599488258362,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/550800-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
52623,Automotive,Ireland – Maintenance and repair services related to specific parts of vehicles – Request for Tender - Vehicle Maintenance and Repair Services,Buyer: ['Fiosrú - Office of the Police Ombudsman'] | Country: IRL | Notice type: cn-standard | Value: 130000,https://ted.europa.eu/bg/notice/-/detail/549198-2025,TED,ted,2025-08-22T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The article mentions 'Maintenance and repair services related to specific parts of vehicles', which broadly relates to the maintenance domain, but it is a request for tender for standard services rather than anticipating failures from operational or sensor data.",0.4517800211906433,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/549198-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:tender,tender,4,True,incomplete_taxonomy;taxonomy_not_classified
17741,Automotive,"Romania – Repair, maintenance and associated services of vehicles and related equipment – Servicii de intretinere si reparatie a autovehiculelor si mopedelor din cadrul parcului auto al Primariei Municipiului Arad, a rampelor de semnalizare luminoasa si acustica, precum si furnizarea pieselor de schimb, componentelor si a materialelor consumabile pentru acestea",Buyer: ['MUNICIPIUL ARAD'] | Country: ROU | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/546864-2025,TED,ted,2025-08-21T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The article mentions repair and maintenance of vehicles and related equipment, which loosely relates to the maintenance domain, but it is a procurement notice for standard repair services rather than a technology-driven predictive maintenance use case.",0.4203507602214813,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/546864-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
17746,Automotive,"France – Winter-maintenance vehicles – Acquisition engin de service hivernal Matériel neuf ou d'occasion (moins de 3 ans, moins de 300 heures et moins de 5000 Km) Châssis Poids lourds",Buyer: ['CONSEIL DEPARTEMENTAL DES PYRENEES-ORIENTALES'] | Country: FRA | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/545207-2025,TED,ted,2025-08-21T00:00:00+00:00,,needs_review,asset-tracking,,0.3,"The article is a procurement notice for winter-maintenance vehicles specifying usage limits (hours, km), which loosely relates to tracking physical assets, but lacks explicit mention of tracking technology or other defined use cases.",0.35167866945266724,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/545207-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,industrial_operations; business_trigger,,industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
11333,Automotive,Netherlands-Petten: Framework Contract for Provision of Maintenance Services for Fuel Cell Test Rigs (in Two Lots) in Scientific Laboratories of the JRC,"Buyer: ['European Commission, Joint Research Centre (JRC), JRC.C - Energy, Transport and Climate (Petten), JRC.C.1 - Energy Storage'] | Country: NLD | Notice type: cn-standard | Value: 630000",https://ted.europa.eu/bg/notice/-/detail/448187-2021,TED,ted,2021-09-06T00:00:00+00:00,,needs_review,predictive-maintenance,,0.2,"The article mentions 'Maintenance Services for Fuel Cell Test Rigs', which loosely relates to maintenance, but it is a procurement notice for a service contract rather than describing a predictive maintenance use case or any specific technology.",0.8876966238021851,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/448187-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement; business_trigger:contract,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
45936,Automotive,Spain-Los Barrios: Refuse-collection vehicles,Buyer: ['ARCGISA'] | Country: ESP | Notice type: cn-standard | Value: 2389522.7,https://ted.europa.eu/bg/notice/-/detail/428476-2021,TED,ted,2021-08-24T00:00:00+00:00,,needs_review,asset-tracking,iot-platforms,0.3,"The article is a public procurement notice for refuse-collection vehicles in the automotive vertical. While the vehicles themselves could be tracked or monitored using IoT platforms for asset tracking, the brief notice lacks specific technical details to confirm any particular use case or technology.",0.2776865065097809,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: connectivity, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/428476-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; business_trigger,,connectivity:iot; business_trigger:procurement,procurement,4,True,taxonomy_not_classified
43608,Automotive,"Vessel Traffic Services Software, Associated Hardware, Maintenance and Support and Port Management Information System Software, Associated Hardware, Maintenance and Support",Buyer: Associated British Ports | Stage: tender,https://www.find-tender.service.gov.uk/Notice/020494-2021,UK Find a Tender,ocds_uk,2021-08-20T15:02:00+01:00,5y_ago,needs_review,asset-tracking,,0.3,"The article mentions Vessel Traffic Services and Port Management Information Systems, which loosely relate to monitoring and tracking physical assets (vessels) within a port, but lacks specific detail to confidently assign a use case or technology.",0.9267450571060181,1,0.9,source_type:ocds_uk,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: industrial_operations, business_trigger; buying_signal signal detected.",https://www.find-tender.service.gov.uk/Notice/020494-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,industrial_operations; business_trigger,,industrial_operations:maintenance; business_trigger:tender,tender,4,True,incomplete_taxonomy;taxonomy_not_classified
17782,Automotive,Bosnia and Herzegovina-Sarajevo: Railway maintenance or service vehicles,Buyer: ['Bosnia and Herzegovina Railway Public Corporation (BHRPC) and the Railways of Federation of Bosnia and Herzegovina (ZFBH)'] | Country: BIH | Notice type: can-standard,https://ted.europa.eu/bg/notice/-/detail/421577-2021,TED,ted,2021-08-20T00:00:00+00:00,,needs_review,predictive-maintenance,,0.2,"The article mentions 'Railway maintenance or service vehicles', which loosely relates to maintenance in the automotive/rail sector, but it is primarily a procurement notice rather than describing a predictive maintenance solution.",0.7183390855789185,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/421577-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
17816,Automotive,Italy-Benevento: Repair and maintenance services of motor vehicles and associated equipment,Buyer: ['ASIA BENEVENTO SPA'] | Country: ITA | Notice type: can-standard | Value: 462500,https://ted.europa.eu/bg/notice/-/detail/424843-2021,TED,ted,2021-08-20T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The article mentions 'Repair and maintenance services of motor vehicles', which is loosely related to maintenance, but it is a procurement notice for standard services rather than a technology-driven use case like anticipating failures from sensor data.",0.4242017865180969,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/424843-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
43615,Automotive,Maintenance of Vehicles for Southern HSC Trust [3103955],"Buyer: Business Services Organisation, Procurement and Logistics Service on behalf of Southern Health and Social Care Trust | Value: 10605000.0 GBP | Stage: tender",https://www.find-tender.service.gov.uk/Notice/020364-2021,UK Find a Tender,ocds_uk,2021-08-19T15:55:02+01:00,5y_ago,needs_review,predictive-maintenance,,0.3,"The article mentions 'Maintenance of Vehicles', which loosely relates to predictive maintenance, but the text is just a tender notice for vehicle maintenance services with no mention of data-driven anticipation of failures or specific technologies.",0.6269909143447876,1,0.9,source_type:ocds_uk,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://www.find-tender.service.gov.uk/Notice/020364-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement; business_trigger:tender,procurement; tender,4,True,incomplete_taxonomy;taxonomy_not_classified
43616,Automotive,SUPPLY AND MAINTENANCE OF FENDERS,Buyer: Associated British Ports | Stage: tender,https://www.find-tender.service.gov.uk/Notice/020322-2021,UK Find a Tender,ocds_uk,2021-08-19T12:58:42+01:00,5y_ago,needs_review,predictive-maintenance,,0.2,"The article mentions 'MAINTENANCE OF FENDERS', which loosely relates to maintenance, but provides no details on predictive approaches, sensor data, or any specific technology.",0.2765408158302307,1,0.9,source_type:ocds_uk,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://www.find-tender.service.gov.uk/Notice/020322-2021,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:tender,tender,4,True,incomplete_taxonomy;taxonomy_not_classified
10970,Defense,Poland – Repair and maintenance services of central heating – Dostawa ciepła od przyłącza gazowego doprowadzającego gaz ziemny układu gazowego oraz olejowego do źródła ciepła w budynku elektrociepłowni oraz do licznika oraz usługa konserwacji i serwisu systemu cieplnego w kompleksie wojskowym w miejscowości Ustka - Lędowo - Sekcja Obsługi Infrastruktury (SOI) Ustka.,Buyer: ['6 Wojskowy Oddział Gospodarczy'] | Country: POL | Notice type: can-standard | Value: 14266770,https://ted.europa.eu/bg/notice/-/detail/580981-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,predictive-maintenance,,0.3,"The article describes a contract for 'Repair and maintenance services of central heating' and 'maintenance and service of the heating system' at a military complex. While this aligns broadly with maintenance, it is a procurement notice for services rather than a description of anticipating failures from operational or sensor data, making the match weak.",0.9393565654754639,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,high,RELEVANT,high,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, industrial_operations, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/580981-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; industrial_operations; business_trigger,,data_ai:predictive; industrial_operations:maintenance; business_trigger:procurement; business_trigger:contract,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
10975,Defense,"France – Laboratory, optical and precision equipments (excl. glasses) – ACQUISITION D'UN SYSTEME DE DE VELOCIMETRE OPTIQUE 3D",Buyer: ['ENSTA'] | Country: FRA | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/581382-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,,computer-vision,0.4,"The article mentions the acquisition of a '3D optical velocimetry system' (SYSTEME DE VELOCIMETRE OPTIQUE 3D), which relies on optical imaging and measurement. This aligns with computer vision, but the context is a procurement notice rather than a business use case, making the match indirect.",0.2378983497619629,1,0.9,source_type:ted,primary_institutional,valid_past,buying_signal,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: data_ai, business_trigger; buying_signal signal detected.",https://ted.europa.eu/bg/notice/-/detail/581382-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,data_ai; business_trigger,,data_ai:computer vision; business_trigger:procurement,procurement,4,True,incomplete_taxonomy;taxonomy_not_classified
10986,Defense,Latvia – Surveillance and security systems and devices – Ugunsdzēsēja glābēja vizuāli audiālās vides iegāde Ugunsdrošības un civilās aizsardzības koledžas vajadzībām,Buyer: ['Valsts ugunsdzēsības un glābšanas dienests'] | Country: LVA | Notice type: cn-standard,https://ted.europa.eu/bg/notice/-/detail/579789-2025,TED,ted,2025-09-05T00:00:00+00:00,,needs_review,asset-tracking,iot-platforms,0.3,"The article mentions 'Surveillance and security systems and devices' and 'visual audio environment acquisition' for a fire and rescue service, which loosely relates to monitoring physical assets/environments and IoT/sensor platforms, but lacks specific details to confidently map to a precise taxonomy item.",0.6825873255729675,1,0.9,source_type:ted,primary_institutional,valid_past,market_move,medium,RELEVANT,medium,inferred,"Strong Orange-addressable themes despite provisional taxonomy: connectivity, cybersecurity; market_move signal detected.",https://ted.europa.eu/bg/notice/-/detail/579789-2025,exact_url,transparent_rules_v2,ready_for_scoring,auto_completed,connectivity; cybersecurity,,connectivity:iot; cybersecurity:security,acquisition,3,True,taxonomy_not_classified
