source_space_id,vertical,use_case_id,use_case_label,technology_id,technology_label,article_count,avg_client_relevance,linked_article_ids,first_seen_at,last_updated_at
175,Aerospace,anomaly-detection,Anomaly detection,machine-learning,Machine Learning,3,,27242 39626 39658,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
374,Aerospace,predictive-maintenance,Predictive maintenance,iot-platforms,IoT Platforms,3,,39849 39855 39861,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
194,Automotive,automated-inspection-defect-detection,Automated inspection / defect detection,computer-vision,Computer Vision,3,,33801 41176 43564,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
138,Automotive,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,3,,17781 41105 41116,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
429,Defense,compliance-monitoring,Compliance monitoring,iot-platforms,IoT Platforms,3,,40845 40864 45596,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
59,Defense,environmental-emissions-monitoring,Environmental/emissions monitoring,iot-platforms,IoT Platforms,3,,3306 43544 43550,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
58,Defense,it-operations-automation,IT operations automation,cybersecurity-platform,Cybersecurity Platform,3,,3299 25112 33357,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
463,Energy,energy-optimization,Energy optimization,blockchain-distributed-ledger,Blockchain / Distributed Ledger,3,,41750 41788 41821,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
464,Energy,energy-optimization,Energy optimization,cloud-data-platform,Cloud Data Platform,3,,41761 41793 41850,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
151,Energy,network-optimization,Network optimization,iot-platforms,IoT Platforms,3,,25887 35647 41826,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
12,"Finance, Banking, Insurance",risk-scoring,Risk scoring,generative-ai-llms,Generative AI / LLMs,3,,33 37 24615,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
128,Healthcare,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,3,,4981 19229 26705,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
158,Media & Entertainment,personalized-recommendations,Personalized recommendations,generative-ai-llms,Generative AI / LLMs,3,,26387 26447 42179,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
411,Public/Gov sector,environmental-emissions-monitoring,Environmental/emissions monitoring,iot-platforms,IoT Platforms,3,,40516 40618 40638,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
51,Retail,asset-tracking,Asset tracking,iot-platforms,IoT Platforms,3,,2511 2637 40172,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
380,Retail,automated-inspection-defect-detection,Automated inspection / defect detection,computer-vision,Computer Vision,3,,40169 40300 40307,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
147,Transportation & Construction,asset-tracking,Asset tracking,rfid-asset-tagging,RFID / Asset Tagging,3,,25550 25573 34759,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
456,Transportation & Construction,energy-optimization,Energy optimization,digital-twin,Digital Twin,3,,41275 41278 41491,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
40,Transportation & Construction,warehouse-automation,Warehouse automation,warehouse-automation-systems,Warehouse Automation Systems,3,,463 34424 34478,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
132,Wholesale,asset-tracking,Asset tracking,iot-platforms,IoT Platforms,3,,12014 42025 42027,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
172,Aerospace,automated-inspection-defect-detection,Automated inspection / defect detection,computer-vision,Computer Vision,2,,27174 39713,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
371,Aerospace,precision-agriculture,Precision agriculture,autonomous-vehicles-drones,Autonomous Vehicles / Drones,2,,39838 54371,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
145,Automotive,anomaly-detection,Anomaly detection,cybersecurity-platform,Cybersecurity Platform,2,,25214 41112,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
61,Automotive,asset-tracking,Asset tracking,rfid-asset-tagging,RFID / Asset Tagging,2,,3433 11225,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
38,Automotive,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,2,,450 33865,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
34,Automotive,predictive-maintenance,Predictive maintenance,machine-learning,Machine Learning,2,,386 420,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
443,Automotive,route-optimization,Route optimization,digital-twin,Digital Twin,2,,41024 41115,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
55,Defense,anomaly-detection,Anomaly detection,computer-vision,Computer Vision,2,,3156 40814,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
435,Defense,anomaly-detection,Anomaly detection,machine-learning,Machine Learning,2,,40955 40966,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
64,Energy,anomaly-detection,Anomaly detection,cybersecurity-platform,Cybersecurity Platform,2,,4152 35703,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
42,Energy,predictive-maintenance,Predictive maintenance,digital-twin,Digital Twin,2,,559 41983,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
18,"Finance, Banking, Insurance",compliance-monitoring,Compliance monitoring,generative-ai-llms,Generative AI / LLMs,2,,79 24640,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
486,Healthcare,automated-inspection-defect-detection,Automated inspection / defect detection,industrial-robotics,Industrial Robotics,2,,42379 42459,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
487,Healthcare,diagnostic-support,Diagnostic support,digital-twin,Digital Twin,2,,42394 42492,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
495,Healthcare,diagnostic-support,Diagnostic support,iot-platforms,IoT Platforms,2,,42577 42591,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
44,Healthcare,document-processing-extraction,Document processing / extraction,generative-ai-llms,Generative AI / LLMs,2,,631 639,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
489,Healthcare,environmental-emissions-monitoring,Environmental/emissions monitoring,machine-learning,Machine Learning,2,,42419 42487,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
206,Lifesciences,automated-inspection-defect-detection,Automated inspection / defect detection,computer-vision,Computer Vision,2,,34915 41604,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
350,Manufacturing,automated-inspection-defect-detection,Automated inspection / defect detection,digital-twin,Digital Twin,2,,39371 39378,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
48,Manufacturing,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,2,,2199 2278,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
9,Manufacturing,production-scheduling,Production scheduling,iot-platforms,IoT Platforms,2,,5 8,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
480,Media & Entertainment,automated-inspection-defect-detection,Automated inspection / defect detection,computer-vision,Computer Vision,2,,42190 42203,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
134,Media & Entertainment,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,2,,12234 42174,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
498,Natural Resources,compliance-monitoring,Compliance monitoring,iot-platforms,IoT Platforms,2,,42613 42679,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
24,Public/Gov sector,anomaly-detection,Anomaly detection,machine-learning,Machine Learning,2,,278 40709,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
54,Public/Gov sector,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,2,,3071 40554,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
381,Retail,environmental-emissions-monitoring,Environmental/emissions monitoring,iot-platforms,IoT Platforms,2,,40180 40276,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
180,Retail,personalized-recommendations,Personalized recommendations,machine-learning,Machine Learning,2,,31388 40153,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
385,Retail,route-optimization,Route optimization,autonomous-vehicles-drones,Autonomous Vehicles / Drones,2,,40280 40297,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
457,Transportation & Construction,automated-inspection-defect-detection,Automated inspection / defect detection,industrial-robotics,Industrial Robotics,2,,41280 41364,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
62,Transportation & Construction,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,2,,3826 43900,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
133,Wholesale,asset-tracking,Asset tracking,rfid-asset-tagging,RFID / Asset Tagging,2,,12016 26301,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
153,Wholesale,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,2,,26068 26098,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
475,Wholesale,energy-optimization,Energy optimization,iot-platforms,IoT Platforms,2,,42017 42029,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
171,Aerospace,anomaly-detection,Anomaly detection,cybersecurity-platform,Cybersecurity Platform,1,,27152,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
169,Aerospace,asset-tracking,Asset tracking,industrial-robotics,Industrial Robotics,1,,27109,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
178,Aerospace,asset-tracking,Asset tracking,computer-vision,Computer Vision,1,,27315,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
370,Aerospace,asset-tracking,Asset tracking,digital-twin,Digital Twin,1,,39836,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
373,Aerospace,asset-tracking,Asset tracking,blockchain-distributed-ledger,Blockchain / Distributed Ledger,1,,39848,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
363,Aerospace,automated-inspection-defect-detection,Automated inspection / defect detection,iot-platforms,IoT Platforms,1,,39674,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
367,Aerospace,automated-inspection-defect-detection,Automated inspection / defect detection,autonomous-vehicles-drones,Autonomous Vehicles / Drones,1,,39802,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
375,Aerospace,automated-inspection-defect-detection,Automated inspection / defect detection,industrial-robotics,Industrial Robotics,1,,39856,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
366,Aerospace,business-forecasting,Business forecasting,machine-learning,Machine Learning,1,,39733,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
369,Aerospace,compliance-monitoring,Compliance monitoring,connectivity-5g,5G Connectivity,1,,39829,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
823,Aerospace,diagnostic-support,Diagnostic support,computer-vision,Computer Vision,1,,54416,2026-08-23T19:55:43.412400,2026-08-23T19:55:43.412400
131,Aerospace,document-processing-extraction,Document processing / extraction,e-invoicing-peppol-integration,E-invoicing / Peppol Integration,1,,5582,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
376,Aerospace,environmental-emissions-monitoring,Environmental/emissions monitoring,digital-twin,Digital Twin,1,,39857,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
372,Aerospace,network-optimization,Network optimization,iot-platforms,IoT Platforms,1,,39846,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
359,Aerospace,precision-agriculture,Precision agriculture,edge-computing,Edge Computing,1,,39620,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
364,Aerospace,precision-agriculture,Precision agriculture,computer-vision,Computer Vision,1,,39711,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
176,Aerospace,predictive-maintenance,Predictive maintenance,edge-computing,Edge Computing,1,,27244,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
360,Aerospace,predictive-maintenance,Predictive maintenance,digital-twin,Digital Twin,1,,39623,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
365,Aerospace,predictive-maintenance,Predictive maintenance,industrial-robotics,Industrial Robotics,1,,39714,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
368,Aerospace,predictive-maintenance,Predictive maintenance,autonomous-vehicles-drones,Autonomous Vehicles / Drones,1,,39828,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
441,Automotive,anomaly-detection,Anomaly detection,computer-vision,Computer Vision,1,,41010,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
444,Automotive,anomaly-detection,Anomaly detection,machine-learning,Machine Learning,1,,41025,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
39,Automotive,asset-tracking,Asset tracking,cloud-data-platform,Cloud Data Platform,1,,455,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
445,Automotive,asset-tracking,Asset tracking,digital-twin,Digital Twin,1,,41029,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
514,Automotive,asset-tracking,Asset tracking,autonomous-vehicles-drones,Autonomous Vehicles / Drones,1,,43586,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
36,Automotive,compliance-monitoring,Compliance monitoring,iot-platforms,IoT Platforms,1,,431,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
196,Automotive,compliance-monitoring,Compliance monitoring,computer-vision,Computer Vision,1,,34002,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
451,Automotive,compliance-monitoring,Compliance monitoring,cloud-data-platform,Cloud Data Platform,1,,41195,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
452,Automotive,compliance-monitoring,Compliance monitoring,machine-learning,Machine Learning,1,,41234,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
33,Automotive,customer-service-automation,Customer service automation,generative-ai-llms,Generative AI / LLMs,1,,385,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
447,Automotive,energy-optimization,Energy optimization,machine-learning,Machine Learning,1,,41104,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
448,Automotive,environmental-emissions-monitoring,Environmental/emissions monitoring,machine-learning,Machine Learning,1,,41109,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
193,Automotive,fraud-detection,Fraud detection,machine-learning,Machine Learning,1,,33753,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
195,Automotive,inventory-optimization,Inventory optimization,generative-ai-llms,Generative AI / LLMs,1,,33806,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
442,Automotive,network-optimization,Network optimization,digital-twin,Digital Twin,1,,41014,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
450,Automotive,network-optimization,Network optimization,autonomous-vehicles-drones,Autonomous Vehicles / Drones,1,,41193,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
146,Automotive,personalized-recommendations,Personalized recommendations,generative-ai-llms,Generative AI / LLMs,1,,25231,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
35,Automotive,predictive-maintenance,Predictive maintenance,generative-ai-llms,Generative AI / LLMs,1,,425,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
449,Automotive,predictive-maintenance,Predictive maintenance,industrial-robotics,Industrial Robotics,1,,41187,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
37,Automotive,risk-scoring,Risk scoring,computer-vision,Computer Vision,1,,445,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
32,Automotive,route-optimization,Route optimization,machine-learning,Machine Learning,1,,369,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
446,Automotive,route-optimization,Route optimization,iot-platforms,IoT Platforms,1,,41100,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
28,Defense,anomaly-detection,Anomaly detection,digital-twin,Digital Twin,1,,306,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
29,Defense,anomaly-detection,Anomaly detection,generative-ai-llms,Generative AI / LLMs,1,,313,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
423,Defense,anomaly-detection,Anomaly detection,natural-language-processing,Natural Language Processing,1,,40765,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
424,Defense,anomaly-detection,Anomaly detection,cybersecurity-platform,Cybersecurity Platform,1,,40768,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
436,Defense,anomaly-detection,Anomaly detection,cloud-data-platform,Cloud Data Platform,1,,40956,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
30,Defense,asset-tracking,Asset tracking,iot-platforms,IoT Platforms,1,,328,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
56,Defense,asset-tracking,Asset tracking,computer-vision,Computer Vision,1,,3157,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
513,Defense,automated-inspection-defect-detection,Automated inspection / defect detection,iot-platforms,IoT Platforms,1,,43536,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
425,Defense,compliance-monitoring,Compliance monitoring,digital-twin,Digital Twin,1,,40773,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
428,Defense,compliance-monitoring,Compliance monitoring,cloud-data-platform,Cloud Data Platform,1,,40840,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
430,Defense,compliance-monitoring,Compliance monitoring,machine-learning,Machine Learning,1,,40846,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
431,Defense,compliance-monitoring,Compliance monitoring,edge-computing,Edge Computing,1,,40857,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
439,Defense,compliance-monitoring,Compliance monitoring,blockchain-distributed-ledger,Blockchain / Distributed Ledger,1,,40995,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
144,Defense,energy-optimization,Energy optimization,digital-twin,Digital Twin,1,,25041,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
60,Defense,environmental-emissions-monitoring,Environmental/emissions monitoring,cloud-data-platform,Cloud Data Platform,1,,3372,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
427,Defense,environmental-emissions-monitoring,Environmental/emissions monitoring,digital-twin,Digital Twin,1,,40838,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
422,Defense,fraud-detection,Fraud detection,machine-learning,Machine Learning,1,,40759,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
438,Defense,fraud-detection,Fraud detection,computer-vision,Computer Vision,1,,40968,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
432,Defense,kyc-aml-automation,KYC/AML automation,blockchain-distributed-ledger,Blockchain / Distributed Ledger,1,,40865,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
437,Defense,network-optimization,Network optimization,cybersecurity-platform,Cybersecurity Platform,1,,40961,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
433,Defense,predictive-maintenance,Predictive maintenance,iot-platforms,IoT Platforms,1,,40868,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
434,Defense,risk-scoring,Risk scoring,iot-platforms,IoT Platforms,1,,40870,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
426,Defense,route-optimization,Route optimization,machine-learning,Machine Learning,1,,40833,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
469,Energy,automated-inspection-defect-detection,Automated inspection / defect detection,industrial-robotics,Industrial Robotics,1,,41858,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
208,Energy,compliance-monitoring,Compliance monitoring,cybersecurity-platform,Cybersecurity Platform,1,,35662,2026-08-22T11:29:42.133715,2026-08-23T19:55:43.412400
468,Energy,energy-optimization,Energy optimization,edge-computing,Edge Computing,1,,41856,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
467,Energy,environmental-emissions-monitoring,Environmental/emissions monitoring,cloud-data-platform,Cloud Data Platform,1,,41852,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
470,Energy,environmental-emissions-monitoring,Environmental/emissions monitoring,digital-twin,Digital Twin,1,,41927,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
466,Energy,route-optimization,Route optimization,machine-learning,Machine Learning,1,,41768,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
19,"Finance, Banking, Insurance",anomaly-detection,Anomaly detection,generative-ai-llms,Generative AI / LLMs,1,,132,2026-08-22T09:10:01.207985,2026-08-23T19:55:43.412400
390,"Finance, Banking, Insurance",anomaly-detection,Anomaly detection,iot-platforms,IoT Platforms,1,,40340,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
394,"Finance, Banking, Insurance",anomaly-detection,Anomaly detection,machine-learning,Machine Learning,1,,40356,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
395,"Finance, Banking, Insurance",asset-tracking,Asset tracking,digital-twin,Digital Twin,1,,40361,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
399,"Finance, Banking, Insurance",asset-tracking,Asset tracking,iot-platforms,IoT Platforms,1,,40387,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
400,"Finance, Banking, Insurance",asset-tracking,Asset tracking,rfid-asset-tagging,RFID / Asset Tagging,1,,40388,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
402,"Finance, Banking, Insurance",automated-inspection-defect-detection,Automated inspection / defect detection,digital-twin,Digital Twin,1,,40395,2026-08-23T01:39:36.984902,2026-08-23T19:55:43.412400
